项目ID,统一标题,英文抬头或项目名,中文名称,中文名称说明
GL033,Chernogorsky GOK (Kingash Ni-Cu-PGE integrated project) 切尔诺戈尔斯克矿冶联合体（金加什镍铜铂族金属一体化项目）,Chernogorsky GOK (Kingash Ni-Cu-PGE integrated project),切尔诺戈尔斯克矿冶联合体（金加什镍铜铂族金属一体化项目）,用户全球普查底表
GL034,Copper Plant (Norilsk) 诺里尔斯克铜厂,Copper Plant (Norilsk),诺里尔斯克铜厂,用户全球普查底表
GL035,Kaznickel (Gornostayevskoye Ni-Co ISL Project) 哈萨克镍业（戈尔诺斯塔耶夫斯科耶镍钴原位溶浸项目）,Kaznickel (Gornostayevskoye Ni-Co ISL Project),哈萨克镍业（戈尔诺斯塔耶夫斯科耶镍钴原位溶浸项目）,用户全球普查底表
GL036,Taiwan Nickel Refining Corporation 台湾镍业精炼股份有限公司,Taiwan Nickel Refining Corporation,台湾镍业精炼股份有限公司,用户全球普查底表
GL037,Niihama Nickel Refinery 新居浜镍精炼厂,Niihama Nickel Refinery,新居浜镍精炼厂,用户全球普查底表
GL038,"Shimura Kako Co., Ltd. 志村化工株式会社(电解镍厂，历史)","Shimura Kako Co., Ltd.",志村化工株式会社(电解镍厂，历史),用户全球普查底表
GL039,"Nippon Yakin Kogyo Co., Ltd. Oheyama Works 日本冶金工业 大江山制作所","Nippon Yakin Kogyo Co., Ltd. Oheyama Works",日本冶金工业 大江山制作所,用户全球普查底表
GL040,Harima Refinery 播磨精炼厂,Harima Refinery,播磨精炼厂,用户全球普查底表
GL041,"Pacific Metals Co., Ltd. (PAMCO) Hachinohe Works 太平洋金属八户制炼所","Pacific Metals Co., Ltd. (PAMCO) Hachinohe Works",太平洋金属八户制炼所,用户全球普查底表
GL042,"Nippon Mining Co., Ltd. Nickel-Cobalt Separation Plant (historical) 日本矿业 镍钴分离厂(历史，选址未确认)","Nippon Mining Co., Ltd. Nickel-Cobalt Separation Plant (historical)",日本矿业 镍钴分离厂(历史，选址未确认),用户全球普查底表
GL043,"Hyuga Smelting Co., Ltd. 日向精炼所","Hyuga Smelting Co., Ltd.",日向精炼所,用户全球普查底表
GL044,Mitsubishi Materials Naoshima Smelter (nickel byproduct) 三菱综合材料 直岛制炼所(镍副产),Mitsubishi Materials Naoshima Smelter (nickel byproduct),三菱综合材料 直岛制炼所(镍副产),用户全球普查底表
GL045,Pacific Metals Hachinohe Polymetallic Nodule Processing Project 太平洋金属八户 多金属结核冶炼改造项目,Pacific Metals Hachinohe Polymetallic Nodule Processing Project,太平洋金属八户 多金属结核冶炼改造项目,用户全球普查底表
GL046,Sumitomo Metal Mining / Hyuga Smelting New Nickel Matte Production Facility 住友金属矿山/日向精炼 镍锍新产线,Sumitomo Metal Mining / Hyuga Smelting New Nickel Matte Production Facility,住友金属矿山/日向精炼 镍锍新产线,用户全球普查底表
GL047,"Tokyo Nickel Co., Ltd. / Vale Japan Ltd. 东京镍业公司(后更名Vale Japan)松阪制炼所","Tokyo Nickel Co., Ltd. / Vale Japan Ltd.",东京镍业公司(后更名Vale Japan)松阪制炼所,用户全球普查底表
GL048,Korea Nickel Corporation (KNC) 韩国镍业公司(KNC),Korea Nickel Corporation (KNC),韩国镍业公司(KNC),用户全球普查底表
GL049,"SNNC Co., Ltd. (POSCO-SMSP Ferronickel Smelter) SNNC(POSCO-SMSP合资镍铁厂)","SNNC Co., Ltd. (POSCO-SMSP Ferronickel Smelter)",SNNC(POSCO-SMSP合资镍铁厂),用户全球普查底表
GL050,EcoPro Materials Pohang Plant (RMP / Nickel-Cobalt Refining + Precursor) EcoPro Materials 浦项厂(RMP镍钴精炼+前驱体),EcoPro Materials Pohang Plant (RMP / Nickel-Cobalt Refining + Precursor),EcoPro Materials 浦项厂(RMP镍钴精炼+前驱体),用户全球普查底表
GL051,POSCO High-Purity Nickel Refinery POSCO 光阳高纯镍精炼厂,POSCO High-Purity Nickel Refinery,POSCO 光阳高纯镍精炼厂,用户全球普查底表
GL052,Torecom (LS MnM) Nickel Sulfate Refinery Torecom(LS MnM子公司) 牙山硫酸镍精炼厂,Torecom (LS MnM) Nickel Sulfate Refinery,Torecom(LS MnM子公司) 牙山硫酸镍精炼厂,用户全球普查底表
GL053,"Korea Zinc ""All-in-One Nickel Smelter"" (KEMCO, new) 高丽亚锌 温山'一体化镍冶炼厂'(新建)","Korea Zinc ""All-in-One Nickel Smelter"" (KEMCO, new)",高丽亚锌 温山'一体化镍冶炼厂'(新建),用户全球普查底表
GL054,LS MnM Ulsan Nickel-Cobalt-Manganese Sulfate Plant LS MnM 温山镍钴锰硫酸盐新厂,LS MnM Ulsan Nickel-Cobalt-Manganese Sulfate Plant,LS MnM 温山镍钴锰硫酸盐新厂,用户全球普查底表
GL055,KEMCO (Korea Zinc) Onsan Nickel Sulphate Refinery (existing line) 高丽亚锌/KEMCO 温山硫酸镍精炼厂(既有产线),KEMCO (Korea Zinc) Onsan Nickel Sulphate Refinery (existing line),高丽亚锌/KEMCO 温山硫酸镍精炼厂(既有产线),用户全球普查底表
GL056,Hindustan Copper Ltd — Indian Copper Complex Nickel-Copper-Acid Recovery Plant 印度斯坦铜业公司—印度铜业联合体镍-铜-酸回收装置,Hindustan Copper Ltd — Indian Copper Complex Nickel-Copper-Acid Recovery Plant,印度斯坦铜业公司—印度铜业联合体镍-铜-酸回收装置,用户全球普查底表
GL057,Nicomet Industries Ltd. (Vedanta Nicomet) 尼科梅特工业公司（Vedanta Nicomet）,Nicomet Industries Ltd. (Vedanta Nicomet),尼科梅特工业公司（Vedanta Nicomet）,用户全球普查底表
GL058,AFC Nickel Sulphate Plant AFC硫酸镍厂,AFC Nickel Sulphate Plant,AFC硫酸镍厂,用户全球普查底表
GL059,Tagaung Taung Nickel-Iron (Ferronickel) Project 德贡东（塔冈冬）镍铁冶炼项目,Tagaung Taung Nickel-Iron (Ferronickel) Project,德贡东（塔冈冬）镍铁冶炼项目,用户全球普查底表
GL060,Mwetaung (Gullu Mual) Nickel-Ferronickel Project 牟埃冬（古鲁穆阿）镍铁项目,Mwetaung (Gullu Mual) Nickel-Ferronickel Project,牟埃冬（古鲁穆阿）镍铁项目,用户全球普查底表
GL061,Nonoc Nickel Refinery (Marinduque Mining & Industrial Corp.); revival attempted by Philnico Industrial Corporation (PIC) 诺诺克岛镍精炼厂（马林杜克矿业公司建；后由Philnico公司尝试复产改造）,Nonoc Nickel Refinery (Marinduque Mining & Industrial Corp.); revival attempted by Philnico Industrial Corporation (PIC),诺诺克岛镍精炼厂（马林杜克矿业公司建；后由Philnico公司尝试复产改造）,用户全球普查底表
GL064,Global Ferronickel Holdings (GFNI) Planned HPAL Plant Global Ferronickel Holdings拟建HPAL厂,Global Ferronickel Holdings (GFNI) Planned HPAL Plant,Global Ferronickel Holdings拟建HPAL厂,用户全球普查底表
GL065,Nickel Asia Corporation Third HPAL Plant (Pujada Peninsula Project) Nickel Asia第三座HPAL厂（普哈达半岛项目）,Nickel Asia Corporation Third HPAL Plant (Pujada Peninsula Project),Nickel Asia第三座HPAL厂（普哈达半岛项目）,用户全球普查底表
GL066,Nickel Asia – DMCI Mining Nickel Processing Plant Partnership Nickel Asia与DMCI Mining镍加工厂合作项目,Nickel Asia – DMCI Mining Nickel Processing Plant Partnership,Nickel Asia与DMCI Mining镍加工厂合作项目,用户全球普查底表
GL067,Zambales Ferro-Nickel Plant and Mining Project (Westchinamin Corp.) 三描礼士省镍铁厂及配套矿山项目（Westchinamin公司）,Zambales Ferro-Nickel Plant and Mining Project (Westchinamin Corp.),三描礼士省镍铁厂及配套矿山项目（Westchinamin公司）,用户全球普查底表
GL068,Ban Phuc Nickel Mine & Concentrator 版福镍矿及选矿厂,Ban Phuc Nickel Mine & Concentrator,版福镍矿及选矿厂,用户全球普查底表
GL069,Ta Khoa Refinery (TKR) 达卡精炼厂（塔科亚精炼厂）,Ta Khoa Refinery (TKR),达卡精炼厂（塔科亚精炼厂）,用户全球普查底表
GL071,Pointe Chaleix Smelter 沙莱克斯角(Pointe Chaleix)冶炼厂（新喀里多尼亚第一座镍冶炼厂）,Pointe Chaleix Smelter,沙莱克斯角(Pointe Chaleix)冶炼厂（新喀里多尼亚第一座镍冶炼厂）,用户全球普查底表
GL072,"Ouroué Foundry, Thio 蒂奥乌鲁埃(Ouroué)冶炼厂","Ouroué Foundry, Thio",蒂奥乌鲁埃(Ouroué)冶炼厂,用户全球普查底表
GL073,Doniambo Smelter (SLN) 多尼安博(Doniambo)冶炼厂,Doniambo Smelter (SLN),多尼安博(Doniambo)冶炼厂,用户全球普查底表
GL074,Thio-Mission Foundry 蒂奥教会区(Thio-Mission)冶炼厂,Thio-Mission Foundry,蒂奥教会区(Thio-Mission)冶炼厂,用户全球普查底表
GL076,Koniambo Nickel SAS (KNS) Smelter 科尼安博(Koniambo)镍业公司(KNS)冶炼厂,Koniambo Nickel SAS (KNS) Smelter,科尼安博(Koniambo)镍业公司(KNS)冶炼厂,用户全球普查底表
GL077,Hauts Fourneaux de Nouméa (Nouméa Blast Furnaces Co.) 努美阿高炉公司(Hauts Fourneaux de Nouméa),Hauts Fourneaux de Nouméa (Nouméa Blast Furnaces Co.),努美阿高炉公司(Hauts Fourneaux de Nouméa),用户全球普查底表
GL078,Kwinana Nickel Refinery (incl. Nickel Sulphate Plant) 奎纳纳镍精炼厂（含硫酸镍工厂）,Kwinana Nickel Refinery (incl. Nickel Sulphate Plant),奎纳纳镍精炼厂（含硫酸镍工厂）,用户全球普查底表
GL079,Kalgoorlie Nickel Smelter 卡尔古利镍冶炼厂,Kalgoorlie Nickel Smelter,卡尔古利镍冶炼厂,用户全球普查底表
GL080,Yabulu Nickel Refinery (Palmer Nickel and Cobalt Refinery) 亚布鲁镍精炼厂（帕尔默镍钴精炼厂）,Yabulu Nickel Refinery (Palmer Nickel and Cobalt Refinery),亚布鲁镍精炼厂（帕尔默镍钴精炼厂）,用户全球普查底表
GL085,Cobalt Blue Kwinana Cobalt-Nickel Refinery Cobalt Blue Kwinana钴镍精炼厂,Cobalt Blue Kwinana Cobalt-Nickel Refinery,Cobalt Blue Kwinana钴镍精炼厂,用户全球普查底表
GL086,Kalgoorlie Nickel Project – Goongarrie Hub 卡尔古利镍项目—贡加里枢纽,Kalgoorlie Nickel Project – Goongarrie Hub,卡尔古利镍项目—贡加里枢纽,用户全球普查底表
GL087,Kalgoorlie pCAM Battery Materials Hub (Poseidon Nickel / Pure Battery Technologies) 卡尔古利前驱体正极材料(pCAM)电池材料枢纽,Kalgoorlie pCAM Battery Materials Hub (Poseidon Nickel / Pure Battery Technologies),卡尔古利前驱体正极材料(pCAM)电池材料枢纽,用户全球普查底表
GL088,Kwinana Integrated Battery Material Facility (IGO / Wyloo Downstream Nickel Project) 奎纳纳一体化电池材料设施(IGO/Wyloo下游镍项目),Kwinana Integrated Battery Material Facility (IGO / Wyloo Downstream Nickel Project),奎纳纳一体化电池材料设施(IGO/Wyloo下游镍项目),用户全球普查底表
GL089,NiWest Nickel-Cobalt Project NiWest镍钴项目,NiWest Nickel-Cobalt Project,NiWest镍钴项目,用户全球普查底表
GL090,Sconi Cobalt-Nickel-Scandium Project 斯科尼(Sconi)钴镍钪项目,Sconi Cobalt-Nickel-Scandium Project,斯科尼(Sconi)钴镍钪项目,用户全球普查底表
GL091,Sunrise Nickel-Cobalt Project (formerly Clean TeQ Sunrise) 日出(Sunrise)镍钴项目（原Clean TeQ Sunrise项目，与Syerston钪项目同一矿区）,Sunrise Nickel-Cobalt Project (formerly Clean TeQ Sunrise),日出(Sunrise)镍钴项目（原Clean TeQ Sunrise项目，与Syerston钪项目同一矿区）,用户全球普查底表
GL092,TECH Project (Townsville Energy Chemicals Hub) 昆士兰太平洋金属公司(QPM) TECH项目（汤斯维尔能源化工枢纽）,TECH Project (Townsville Energy Chemicals Hub),昆士兰太平洋金属公司(QPM) TECH项目（汤斯维尔能源化工枢纽）,用户全球普查底表
GL093,Wingellina Nickel-Cobalt Project (Central Musgrave Project) 温杰利纳(中马斯格雷夫)镍钴项目,Wingellina Nickel-Cobalt Project (Central Musgrave Project),温杰利纳(中马斯格雷夫)镍钴项目,用户全球普查底表
GL094,"Canadian Copper Company Copper Cliff Smelter (1888 original plant) 加拿大铜业公司科珀克利夫冶炼厂(1888年原始厂,萨德伯里首座冶炼厂)",Canadian Copper Company Copper Cliff Smelter (1888 original plant),"加拿大铜业公司科珀克利夫冶炼厂(1888年原始厂,萨德伯里首座冶炼厂)",用户全球普查底表
GL095,Copper Cliff Smelter Complex (Vale Sudbury Complex) 铜崖冶炼厂综合体（萨德伯里）,Copper Cliff Smelter Complex (Vale Sudbury Complex),铜崖冶炼厂综合体（萨德伯里）,用户全球普查底表
GL096,Mond Nickel Company Victoria Mines Smelter 蒙德镍业公司维多利亚矿区冶炼厂,Mond Nickel Company Victoria Mines Smelter,蒙德镍业公司维多利亚矿区冶炼厂,用户全球普查底表
GL097,Deloro Smelting and Refining Company 德洛罗冶炼精炼公司（钴/银/砷为主，镍为伴生，存疑收录）,Deloro Smelting and Refining Company,德洛罗冶炼精炼公司（钴/银/砷为主，镍为伴生，存疑收录）,用户全球普查底表
GL098,Coniston Smelter 科尼斯顿冶炼厂,Coniston Smelter,科尼斯顿冶炼厂,用户全球普查底表
GL099,"British America Nickel Corporation – Deschênes, Quebec Hybinette Refinery 英美镍业公司魁北克德申海宾内特法精炼厂","British America Nickel Corporation – Deschênes, Quebec Hybinette Refinery",英美镍业公司魁北克德申海宾内特法精炼厂,用户全球普查底表
GL100,Port Colborne Nickel Refinery 科尔本港镍精炼厂,Port Colborne Nickel Refinery,科尔本港镍精炼厂,用户全球普查底表
GL101,British America Nickel Corporation – Nickelton Smelter 英美镍业公司镍尔顿(Nickelton)冶炼厂(默里矿区),British America Nickel Corporation – Nickelton Smelter,英美镍业公司镍尔顿(Nickelton)冶炼厂(默里矿区),用户全球普查底表
GL102,Sudbury Smelter (Falconbridge / Glencore Sudbury Integrated Nickel Operations) 萨德伯里冶炼厂（原Falconbridge，现Glencore萨德伯里一体化镍业务）,Sudbury Smelter (Falconbridge / Glencore Sudbury Integrated Nickel Operations),萨德伯里冶炼厂（原Falconbridge，现Glencore萨德伯里一体化镍业务）,用户全球普查底表
GL103,Sherritt Fort Saskatchewan Metals Processing Plant 谢里特堡萨斯喀彻温精炼厂,Sherritt Fort Saskatchewan Metals Processing Plant,谢里特堡萨斯喀彻温精炼厂,用户全球普查底表
GL104,Thompson Refinery 汤普森精炼厂,Thompson Refinery,汤普森精炼厂,用户全球普查底表
GL105,Thompson Smelter 汤普森冶炼厂,Thompson Smelter,汤普森冶炼厂,用户全球普查底表
GL106,Copper Cliff Nickel Refinery (CCNR) 铜崖镍精炼厂（羰基法）,Copper Cliff Nickel Refinery (CCNR),铜崖镍精炼厂（羰基法）,用户全球普查底表
GL107,Long Harbour Processing Plant 朗哈伯（长港）湿法冶炼厂,Long Harbour Processing Plant,朗哈伯（长港）湿法冶炼厂,用户全球普查底表
GL108,Argentia Hydrometallurgical Demonstration/Commercial Plant (proposed; superseded by Long Harbour) 阿金夏（阿真蒂亚）湿法冶炼示范/商业化项目（未按原计划建成，后被Long Harbour取代）,Argentia Hydrometallurgical Demonstration/Commercial Plant (proposed; superseded by Long Harbour),阿金夏（阿真蒂亚）湿法冶炼示范/商业化项目（未按原计划建成，后被Long Harbour取代）,用户全球普查底表
GL109,Crawford Nickel-Cobalt Project & NetZero Metals Downstream Processing (planned) 克劳福德镍钴项目及NetZero Metals下游加工厂（规划中）,Crawford Nickel-Cobalt Project & NetZero Metals Downstream Processing (planned),克劳福德镍钴项目及NetZero Metals下游加工厂（规划中）,用户全球普查底表
GL110,"American Nickel Works, Camden, New Jersey 美国镍业公司(卡姆登镍厂，约瑟夫·沃顿创办)","American Nickel Works, Camden, New Jersey",美国镍业公司(卡姆登镍厂，约瑟夫·沃顿创办),用户全球普查底表
GL111,"Orford Copper Company Refinery (Constable Hook, Bayonne, NJ) 奥福德铜业公司炼厂（新泽西州贝永市）","Orford Copper Company Refinery (Constable Hook, Bayonne, NJ)",奥福德铜业公司炼厂（新泽西州贝永市）,用户全球普查底表
GL112,"Hanna Nickel Smelting Co. / Glenbrook Nickel Co. Smelter (Riddle, Oregon / Nickel Mountain) 汉纳镍冶炼公司/格伦布鲁克镍业公司里德尔冶炼厂（俄勒冈州镍山）","Hanna Nickel Smelting Co. / Glenbrook Nickel Co. Smelter (Riddle, Oregon / Nickel Mountain)",汉纳镍冶炼公司/格伦布鲁克镍业公司里德尔冶炼厂（俄勒冈州镍山）,用户全球普查底表
GL113,Westwin Elements Lawton Nickel-Cobalt Refinery (Pilot/Demonstration Plant) 西温元素公司劳顿镍钴精炼厂（中试/示范装置）,Westwin Elements Lawton Nickel-Cobalt Refinery (Pilot/Demonstration Plant),西温元素公司劳顿镍钴精炼厂（中试/示范装置）,用户全球普查底表
GL114,Electra Battery Materials Nickel Sulphate Refinery (proposed) Electra电池材料公司硫酸镍精炼厂（拟建）,Electra Battery Materials Nickel Sulphate Refinery (proposed),Electra电池材料公司硫酸镍精炼厂（拟建）,用户全球普查底表
GL115,Missouri Cobalt / US Strategic Metals Battery Active Materials Plant 密苏里钴业/美国战略金属公司电池活性材料厂（含镍）,Missouri Cobalt / US Strategic Metals Battery Active Materials Plant,密苏里钴业/美国战略金属公司电池活性材料厂（含镍）,用户全球普查底表
GL116,NorthMet Project Hydrometallurgical Plant (PolyMet / NewRange Copper Nickel) 北金属(NorthMet)项目湿法冶炼厂（PolyMet/新域铜镍，规划中）,NorthMet Project Hydrometallurgical Plant (PolyMet / NewRange Copper Nickel),北金属(NorthMet)项目湿法冶炼厂（PolyMet/新域铜镍，规划中）,用户全球普查底表
GL117,Precision Periodic Central Florida Nickel-Cobalt-Manganese Refinery (proposed) Precision Periodic佛罗里达中部镍钴锰精炼厂（拟建）,Precision Periodic Central Florida Nickel-Cobalt-Manganese Refinery (proposed),Precision Periodic佛罗里达中部镍钴锰精炼厂（拟建）,用户全球普查底表
GL118,Stillwater/Sibanye-Stillwater Columbus Base Metal Refinery (PGM by-product nickel) 斯蒂尔沃特/西班牙优山比耶-斯蒂尔沃特哥伦布贱金属精炼厂（铂族金属副产镍）,Stillwater/Sibanye-Stillwater Columbus Base Metal Refinery (PGM by-product nickel),斯蒂尔沃特/西班牙优山比耶-斯蒂尔沃特哥伦布贱金属精炼厂（铂族金属副产镍）,用户全球普查底表
GL119,"Talon Metals Beulah Minerals Processing Facility (Tamarack Project processing plant, North Dakota) — CANCELLED 塔隆金属公司北达科他州比尤拉矿物加工厂（塔马拉克项目配套设施，已放弃）","Talon Metals Beulah Minerals Processing Facility (Tamarack Project processing plant, North Dakota) — CANCELLED",塔隆金属公司北达科他州比尤拉矿物加工厂（塔马拉克项目配套设施，已放弃）,用户全球普查底表
GL120,Westwin Elements Bryan County Nickel Refinery (proposed) 西温元素公司佐治亚州布莱恩县镍精炼厂（拟议中）,Westwin Elements Bryan County Nickel Refinery (proposed),西温元素公司佐治亚州布莱恩县镍精炼厂（拟议中）,用户全球普查底表
GL121,"Fenix Nickel Project (Pronico ferronickel plant / CGN mine, formerly Exmibal/Inco) 菲尼克斯镍项目（普罗尼科镍铁厂，原EXMIBAL/Inco矿）","Fenix Nickel Project (Pronico ferronickel plant / CGN mine, formerly Exmibal/Inco)",菲尼克斯镍项目（普罗尼科镍铁厂，原EXMIBAL/Inco矿）,用户全球普查底表
GL122,Nicaro Nickel Plant (Comandante René Ramos Latour) 尼卡罗镍厂（雷内·拉莫斯·拉图尔镍厂）,Nicaro Nickel Plant (Comandante René Ramos Latour),尼卡罗镍厂（雷内·拉莫斯·拉图尔镍厂）,用户全球普查底表
GL123,Moa Nickel S.A. – Pedro Sotto Alba Plant 莫阿镍厂（佩德罗·索托·阿尔瓦厂）,Moa Nickel S.A. – Pedro Sotto Alba Plant,莫阿镍厂（佩德罗·索托·阿尔瓦厂）,用户全球普查底表
GL124,Ernesto Che Guevara Nickel Plant (Punta Gorda) 蓬塔戈尔达镍厂（切·格瓦拉镍厂）,Ernesto Che Guevara Nickel Plant (Punta Gorda),蓬塔戈尔达镍厂（切·格瓦拉镍厂）,用户全球普查底表
GL125,"Las Camariocas Plant (Comandante Camilo Cienfuegos, unfinished) 拉斯卡马里奥卡斯镍厂（卡米洛·西恩富戈斯镍厂，未完工）","Las Camariocas Plant (Comandante Camilo Cienfuegos, unfinished)",拉斯卡马里奥卡斯镍厂（卡米洛·西恩富戈斯镍厂，未完工）,用户全球普查底表
GL126,San Felipe Nickel Project (planned) 圣费利佩镍项目（规划，卡马圭省）,San Felipe Nickel Project (planned),圣费利佩镍项目（规划，卡马圭省）,用户全球普查底表
GL127,Cerro Matoso Ferronickel Mine and Smelter 塞罗马托索镍铁厂,Cerro Matoso Ferronickel Mine and Smelter,塞罗马托索镍铁厂,用户全球普查底表
GL128,Falcondo (Falconbridge Dominicana) Ferronickel Plant 法尔康多镍铁厂（博纳奥）,Falcondo (Falconbridge Dominicana) Ferronickel Plant,法尔康多镍铁厂（博纳奥）,用户全球普查底表
GL129,Loma de Níquel Ferronickel Plant 洛马德尼克尔镍铁厂,Loma de Níquel Ferronickel Plant,洛马德尼克尔镍铁厂,用户全球普查底表
GL130,Morro do Níquel Plant 莫罗-多-尼克尔镍厂,Morro do Níquel Plant,莫罗-多-尼克尔镍厂,用户全球普查底表
GL131,Companhia Níquel Tocantins (CNT) Caron Plant 托坎廷斯镍公司（尼克兰迪亚Caron氨浸厂）,Companhia Níquel Tocantins (CNT) Caron Plant,托坎廷斯镍公司（尼克兰迪亚Caron氨浸厂）,用户全球普查底表
GL132,Codemin Ferronickel Plant (Niquelândia) 科德明镍铁厂（尼克兰迪亚）,Codemin Ferronickel Plant (Niquelândia),科德明镍铁厂（尼克兰迪亚）,用户全球普查底表
GL133,Mineração Serra da Fortaleza (Fortaleza de Minas Nickel Matte Smelter) 福塔莱萨-德米纳斯镍厂（塞拉福塔莱萨矿业）,Mineração Serra da Fortaleza (Fortaleza de Minas Nickel Matte Smelter),福塔莱萨-德米纳斯镍厂（塞拉福塔莱萨矿业）,用户全球普查底表
GL134,Barro Alto Ferronickel Plant 巴罗阿尔托镍铁厂,Barro Alto Ferronickel Plant,巴罗阿尔托镍铁厂,用户全球普查底表
GL135,Onça Puma Ferronickel Plant 翁萨普马镍铁厂,Onça Puma Ferronickel Plant,翁萨普马镍铁厂,用户全球普查底表
GL136,Araguaia Ferronickel Project (Horizonte Minerals) 阿拉瓜亚镍铁项目,Araguaia Ferronickel Project (Horizonte Minerals),阿拉瓜亚镍铁项目,用户全球普查底表
GL138,São Miguel Paulista Electrolytic Nickel Refinery 圣米格尔保利斯塔电解镍精炼厂,São Miguel Paulista Electrolytic Nickel Refinery,圣米格尔保利斯塔电解镍精炼厂,用户全球普查底表
GL139,Vermelho Nickel-Cobalt Project (Horizonte Minerals) 维尔梅柳镍钴项目,Vermelho Nickel-Cobalt Project (Horizonte Minerals),维尔梅柳镍钴项目,用户全球普查底表
GL140,Impala Refining Services Base Metals Refinery (Springs) 英帕拉铂业斯普林斯贱金属精炼厂,Impala Refining Services Base Metals Refinery (Springs),英帕拉铂业斯普林斯贱金属精炼厂,用户全球普查底表
GL141,Nkomati Nickel Mine (MMZ & PCMZ concentrators) 恩科马蒂镍矿选矿厂,Nkomati Nickel Mine (MMZ & PCMZ concentrators),恩科马蒂镍矿选矿厂,用户全球普查底表
GL142,Northam Platinum Zondereinde Smelter & Base Metals Refinery 诺瑟姆铂业桑德雷恩德冶炼厂及贱金属精炼厂,Northam Platinum Zondereinde Smelter & Base Metals Refinery,诺瑟姆铂业桑德雷恩德冶炼厂及贱金属精炼厂,用户全球普查底表
GL143,"Thakadu Nickel Sulfate Plant, Marikana 萨卡杜硫酸镍厂(马里卡纳)","Thakadu Nickel Sulfate Plant, Marikana",萨卡杜硫酸镍厂(马里卡纳),用户全球普查底表
GL144,Lonmin (Sibanye-Stillwater) Base Metals Refinery 隆明(西班尼-思达伟)贱金属精炼厂,Lonmin (Sibanye-Stillwater) Base Metals Refinery,隆明(西班尼-思达伟)贱金属精炼厂,用户全球普查底表
GL145,Rustenburg Base Metals Refinery (RBMR) / Waterval Smelter Complex 鲁斯滕堡贱金属精炼厂(RBMR，含瓦特瓦尔冶炼厂),Rustenburg Base Metals Refinery (RBMR) / Waterval Smelter Complex,鲁斯滕堡贱金属精炼厂(RBMR，含瓦特瓦尔冶炼厂),用户全球普查底表
GL146,BCL Smelter (Selebi-Phikwe Nickel-Copper Smelter) BCL塞莱比皮奎镍铜冶炼厂,BCL Smelter (Selebi-Phikwe Nickel-Copper Smelter),BCL塞莱比皮奎镍铜冶炼厂,用户全球普查底表
GL147,Tati Nickel Activox Base-Metals Refinery Project 塔蒂镍业Activox贱金属精炼项目(未建成),Tati Nickel Activox Base-Metals Refinery Project,塔蒂镍业Activox贱金属精炼项目(未建成),用户全球普查底表
GL148,Kabanga Nickel Project & Kahama Hydrometallurgical Refinery (planned) 卡班加镍矿及卡哈马湿法冶金精炼厂(规划中),Kabanga Nickel Project & Kahama Hydrometallurgical Refinery (planned),卡班加镍矿及卡哈马湿法冶金精炼厂(规划中),用户全球普查底表
GL149,Ntaka Hill Nickel-Cobalt Laterite Project 恩塔卡山镍钴红土矿项目,Ntaka Hill Nickel-Cobalt Laterite Project,恩塔卡山镍钴红土矿项目,用户全球普查底表
GL150,"Musongati Nickel Laterite Project (planned, never built) 穆松加蒂镍红土矿项目(规划中，从未建成)","Musongati Nickel Laterite Project (planned, never built)",穆松加蒂镍红土矿项目(规划中，从未建成),用户全球普查底表
GL151,Bou Azzer Cobalt-Nickel Complex (CTT / Managem) 布阿泽尔钴镍联合厂(CTT/曼纳吉姆),Bou Azzer Cobalt-Nickel Complex (CTT / Managem),布阿泽尔钴镍联合厂(CTT/曼纳吉姆),用户全球普查底表
GL152,Bindura Smelter & Refinery Complex (Bindura Nickel Corporation / Trojan Mine) 宾杜拉镍冶炼及精炼厂(宾杜拉镍业公司/特洛伊矿),Bindura Smelter & Refinery Complex (Bindura Nickel Corporation / Trojan Mine),宾杜拉镍冶炼及精炼厂(宾杜拉镍业公司/特洛伊矿),用户全球普查底表
GL153,Empress Nickel Refinery (ENR) 皇后镍精炼厂,Empress Nickel Refinery (ENR),皇后镍精炼厂,用户全球普查底表
GL154,Hartley Platinum Mine PGM Base-Metals Refinery (byproduct nickel) 哈特利铂矿铂族金属贱金属精炼厂(副产镍),Hartley Platinum Mine PGM Base-Metals Refinery (byproduct nickel),哈特利铂矿铂族金属贱金属精炼厂(副产镍),用户全球普查底表
GL155,Zimplats Selous Metallurgical Complex (Smelter) 津巴布韦铂业塞卢斯冶炼厂,Zimplats Selous Metallurgical Complex (Smelter),津巴布韦铂业塞卢斯冶炼厂,用户全球普查底表
GL156,Western Côte d'Ivoire Nickel Laterite Prospects (Sipilou / Foungouesso / Moyango / Biankouma) — exploration/pre-development stage 科特迪瓦西部镍红土矿勘探项目群(西皮鲁/丰古埃索/莫扬戈/比安库马),Western Côte d'Ivoire Nickel Laterite Prospects (Sipilou / Foungouesso / Moyango / Biankouma) — exploration/pre-development stage,科特迪瓦西部镍红土矿勘探项目群(西皮鲁/丰古埃索/莫扬戈/比安库马),用户全球普查底表
GL158,Kleva Nickel Mine & Smelter (Kleva gruva) 克莱瓦(Kleva)镍矿及冶炼厂,Kleva Nickel Mine & Smelter (Kleva gruva),克莱瓦(Kleva)镍矿及冶炼厂,用户全球普查底表
GL159,Bamble Nikkelverk (Bamble Nickel Works) 巴姆布勒(Bamble)镍厂,Bamble Nikkelverk (Bamble Nickel Works),巴姆布勒(Bamble)镍厂,用户全球普查底表
